deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraDepth,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments
422596bc-f1ba-4bb6-a6d6-2635eaa3c91e,41375e43-38ac-4d70-893e-efba6f4f9606,OF 1_4,-38.017914,177.033626,,2025-05-10T12:19:12+00:00,2025-05-31T10:26:31+00:00,Thomas Armstrong,,,300,,,,180,,,,,,,,
453e6f5a-b415-4824-b012-f0717bfbea4e,4ed86a65-5539-4392-a7d9-df8099830dd1,OF 99_01A,-38.010533,177.0118,,2024-10-10T14:18:18+00:00,2024-10-24T14:21:29+00:00,,,,300,,,,,,,,,,,,
4baed007-802a-4485-8a37-27dad709db65,f448337d-7e07-4409-bd81-912d888b6e5c,OF 99_01,-38.009733,177.012376,,2024-10-10T14:06:25+00:00,2024-10-24T14:21:37+00:00,,,,300,,,,,,,,,,,,
4fe3af29-775f-47a9-b596-859d41610e10,560c0960-e481-4b3d-ae95-132b4254ab30,OF 99_11,-38.02225,177.01855,,2024-10-10T11:37:35+00:00,2024-10-24T12:51:38+00:00,,,,300,,,,,,,false,,,,,
50fbb4e4-0d6d-4a47-a5e5-e3879c05b873,d0d905d0-b79a-482b-b533-964282cdb4ce,OF 1_1,-38.022087,177.029266,,2025-05-10T14:00:00+00:00,2025-05-31T10:15:00+00:00,Thomas Armstrong,,,300,,,,180,,,,,,,,"When collected the camera had full battery, it stopped collecting data for some reason. BJG Manually updated Start/End date per Hilary email 16/Sept"
5e9bf560-d048-445e-a9c4-808155b0e0cf,a604af53-ab46-4721-a37a-7a283f06ad1d,OF 99_21,-38.010095,177.026454,,2024-10-10T11:05:30+00:00,2024-10-23T14:42:59+00:00,,,,300,,,,,,,,,,,,
608e7556-6462-472e-9c04-9223122ca38e,1f5a2e72-7805-45f5-8ac6-74b38676db8a,OF 99_17,-38.01321,177.031903,,2024-10-10T12:14:22+00:00,2024-10-24T12:43:39+00:00,,,,300,,,,,,,,,,,,
61db0426-bd48-4546-a147-dd896a40bfdf,a6ab8342-9dbc-4613-a402-8154813117eb,OF 99_10,-38.023917,177.017967,,2024-10-10T11:22:53+00:00,2024-10-24T12:34:06+00:00,,,,300,,,,,,,false,,,,,
66eec261-95a5-494a-ab72-5768e81d0520,429d1388-5148-494d-bfc2-33159c897d7f,OF 99_06,-38.020783,177.016667,,2024-10-10T12:29:56+00:00,2024-10-24T12:12:34+00:00,,,,300,,,,,,,,,,,,
68ded788-a492-4a83-b327-9e337a5dcdfc,41375e43-38ac-4d70-893e-efba6f4f9606,OF 1_4,-38.017914,177.033626,,2025-11-23T09:01:36+00:00,2025-12-14T08:39:02+00:00,Thomas Armstrong,,,300,,,,180,,,,,,,,
6ca3ced0-02d1-45b9-a9f3-f25b69a2538f,9da84cad-5750-49fc-b181-a1026493005d,OF 99_23,-38.010014,177.021141,,2024-10-08T11:56:29+00:00,2024-10-23T13:25:23+00:00,,,,300,,,,,,,,,,,,
81c06162-6b00-444b-a15c-d28a66b6dc78,d0d905d0-b79a-482b-b533-964282cdb4ce,OF 1_1,-38.022087,177.029266,,2025-02-01T10:30:00+00:00,2025-02-24T10:25:07+00:00,Thomas Armstrong,,,300,,,,180,,,,,,,,
8cb6f9c1-1b91-4da1-8a57-cafddd6eef40,626be953-e13f-41b0-b8c1-13a9616dc6e5,OF 99_20,-38.012064,177.026355,,2024-10-10T11:17:51+00:00,2024-10-24T12:06:40+00:00,,,,300,,,,,,,,,,,,
9190ef49-dca8-4a4b-bdd6-52ee9f7163f1,fbd1437b-112c-4728-9f73-81c72de67ed5,OF 99_02,-38.010132,177.024055,,2024-10-09T11:30:00+00:00,2024-10-23T14:05:28+00:00,,,,300,,,,,,,,,,,,
a6529de4-25f2-4387-80db-88dfa434d42c,eb186789-cb60-4e83-a804-fda5c4c90fd2,OF 99_12,-38.0212,177.0225,,2024-10-10T10:27:51+00:00,2024-10-24T12:57:45+00:00,,,,300,,,,,,,,,,,,
af986e70-5233-48c0-912a-a9a380ae1f6c,f1a01e77-3a98-41a1-a083-2f5c61ecbd3d,OF 1_2,-38.020694,177.030699,,2025-02-01T10:41:43+00:00,2025-02-24T10:30:35+00:00,Thomas Armstrong,,,300,,,,180,,,,,,,,
b3b018e8-015f-4baf-b93d-d44b78dd7489,0987b4d0-e25b-43b6-9e2f-10a6214e68ec,OF 99_15,-38.019575,177.027151,,2024-10-10T11:13:15+00:00,2024-10-24T13:22:53+00:00,,,,300,,,,,,,,,,,,
b5a64215-c4e9-48a2-ac93-03cce56e7c15,d0d905d0-b79a-482b-b533-964282cdb4ce,OF 1_1,-38.022087,177.029266,,2025-08-30T12:48:39+00:00,2025-09-20T10:37:15+00:00,Thomas Armstrong,,,300,,,,180,,,,,,,,
b8b616d7-cb59-4b9f-961c-ee8f2dd7ec8a,0eb3ce24-2481-41a5-863c-60793e526e29,OF 99_08,-38.019669,177.024027,,2024-10-10T10:35:31+00:00,2024-10-24T14:02:03+00:00,,,,300,,,,,,,,,,,,
