trap_id,code,line_id,trap_number,project_id,cat_trap,inactive,sponsor_id,trap_type_id,to_be_replaced,to_be_maintained,name,trapcode,long,lat,ele,project_id2,easting,northing,line_id3,code4,name5,project_id6,associated_cat_traps,Reserve/Area
2315,MK60,25,482,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
2316,MK61,25,483,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
2317,MK62,25,486,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
2357,MK72,25,494,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
2358,MK73,25,495,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
2359,MK74,25,496,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
2360,MK74A,25,497,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
2361,MK75,25,498,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
2362,MK76,25,499,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
2363,MK77,25,500,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
2364,MK78,25,501,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
2365,MK79,25,502,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
2366,MK80,25,503,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
