trap_id,code,line_id,trap_number,project_id,cat_trap,inactive,sponsor_id,trap_type_id,to_be_replaced,to_be_maintained,name,latitude,longitude
380,CS11,9,161,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.970714,177.036496
381,CS12,9,162,1,NULL,NULL,1009,1,NULL,NULL,NULL,-37.969825,177.037831
3659,CT1,189,1,1,0,0,NULL,11,0,0,NULL,-37.97170442,177.0041179
3663,CT10,189,5,1,0,0,NULL,11,0,0,NULL,-37.9821697,176.9996687
3664,CT12,189,6,1,0,0,NULL,11,0,0,NULL,-37.97889511,177.0019259
3660,CT4,189,2,1,0,0,NULL,11,0,0,NULL,-37.9842003,177.0027266
3661,CT7,189,3,1,0,0,NULL,11,0,0,NULL,-37.98722849,177.0000348
3662,CT9,189,4,1,0,0,NULL,11,0,0,NULL,-37.98275613,176.9956719
1775,DB01,122,773,1,NULL,NULL,1065,2,NULL,NULL,NULL,,
1776,DB02,122,774,1,NULL,NULL,1065,2,NULL,NULL,NULL,,
1777,DB03,122,775,1,NULL,NULL,1065,2,NULL,NULL,NULL,,
1778,DB04,122,776,1,NULL,NULL,1065,2,NULL,NULL,NULL,,
1779,DB05,122,777,1,NULL,NULL,1065,2,NULL,NULL,NULL,,
1780,DB06,122,778,1,NULL,NULL,1065,2,NULL,NULL,NULL,,
1781,DB07,122,779,1,NULL,NULL,1065,2,NULL,NULL,NULL,,
1782,DB08,122,780,1,NULL,NULL,1065,2,NULL,NULL,NULL,,
1783,DB09,122,781,1,NULL,NULL,1065,2,NULL,NULL,NULL,,
1784,DB10,122,782,1,NULL,NULL,1065,2,NULL,NULL,NULL,,
1785,DB11,122,783,1,NULL,NULL,1065,2,NULL,NULL,NULL,,
1786,DB12,122,784,1,NULL,NULL,1065,2,NULL,NULL,NULL,,
1787,DB13,122,785,1,NULL,NULL,1065,2,NULL,NULL,NULL,,
1788,DB14,122,786,1,NULL,NULL,1037,2,NULL,NULL,NULL,,
1789,DB15,122,787,1,NULL,NULL,NULL,2,NULL,NULL,NULL,,
1790,DB16,122,788,1,NULL,NULL,NULL,2,NULL,NULL,NULL,,
1791,DB17,122,789,1,NULL,NULL,NULL,2,NULL,NULL,NULL,,
1792,DB18,122,790,1,NULL,NULL,NULL,2,NULL,NULL,NULL,,
1793,DB19,122,791,1,NULL,NULL,NULL,2,NULL,NULL,NULL,,
1794,DB20,122,792,1,NULL,NULL,1057,2,NULL,NULL,NULL,,
1795,DB21,122,793,1,NULL,NULL,NULL,2,NULL,NULL,NULL,,
1796,DB22,122,794,1,NULL,NULL,NULL,2,NULL,NULL,NULL,,
1797,DB23,122,795,1,NULL,NULL,NULL,2,NULL,NULL,NULL,,
1798,DB24,122,796,1,NULL,NULL,NULL,2,NULL,NULL,NULL,,
1799,DB25,122,797,1,NULL,NULL,NULL,2,NULL,NULL,NULL,,
1800,DB26,122,798,1,NULL,NULL,NULL,2,NULL,NULL,NULL,,
1801,DB27,122,799,1,NULL,NULL,NULL,2,NULL,NULL,NULL,,
1802,DB28,122,800,1,NULL,NULL,NULL,2,NULL,NULL,NULL,,
1803,DB29,122,801,1,NULL,NULL,NULL,2,NULL,NULL,NULL,,
1804,DB30,122,802,1,NULL,NULL,NULL,2,NULL,NULL,NULL,,
1805,DB31,122,803,1,NULL,NULL,NULL,2,NULL,NULL,NULL,,
151,DF01,18,308,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.974871,177.021146
152,DF02,18,309,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.974822,177.022049
153,DF03,18,310,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.973943,177.022518
154,DF04,18,311,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.973291,177.023054
155,DF05,18,312,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.97241,177.02329
156,DF06,18,313,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.972068,177.022606
157,DF07,18,314,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.971693,177.02201
158,DF08,18,315,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.970973,177.022252
3586,DF08A,18,316,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.97041675,177.020979
3587,DF08B,18,317,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-37.96954353,177.0191221
159,DF09,18,318,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.969991,177.022458
160,DF10,18,319,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.968309,177.022743
161,DF11,18,320,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.967147,177.023019
162,DF12,18,321,1,NULL,NULL,2,2,NULL,NULL,NULL,-37.966305,177.023337
163,DF13,18,322,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.965643,177.023015
164,DF14,18,323,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.9657,177.022122
165,DF15,18,324,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.966022,177.021039
166,DF16,18,325,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.966546,177.019573
167,DF17,18,326,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.967285,177.018115
